,,,,,
"Wtorek,
01 wrz 01 dane archiwalne ","częściowe zachmurzenie / niewielki deszcz","30°C 19°C","990.92 hPa","14.25km/h,
połud.-zach.","niewielki deszcz"
"Środa,
02 wrz 02 dane archiwalne ","niebo niewidoczne / niewielki deszcz","19°C 17°C","992.59 hPa","19km/h,
zachodni","niewielki deszcz"
"Czwartek,
03 wrz 03 dane archiwalne ","częściowe zachmurzenie / brak opadów","21°C 12°C","998.25 hPa","10km/h,
połud.-zach.","brak opadów"
"Piątek,
04 wrz 04 dane archiwalne ","niebo niewidoczne / niewielki deszcz","17°C 13°C","995.92 hPa","9.75km/h,
południowy","niewielki deszcz"
"Sobota,
05 wrz 05 dane archiwalne ","bezchmurnie / bez istotnych opadów","17°C 10°C","990.59 hPa","20.75km/h,
połud.-zach.","bez istotnych opadów"
"Niedziela,
06 wrz 06 dane archiwalne ","częściowe zachmurzenie / opady deszczu","13°C 10°C","986.25 hPa","27km/h,
połud.-zach.","opady deszczu"
"Poniedziałek,
07 wrz 07 dane archiwalne ","niebo niewidoczne / opady deszczu","13°C 10°C","990.92 hPa","25.25km/h,
północ.-zach.","opady deszczu"
"Wtorek,
08 wrz 08 dane archiwalne ","zachmurzenie małe / opady deszczu","15°C 9°C","998.92 hPa","22.75km/h,
północ.-zach.","opady deszczu"
"Środa,
09 wrz 09 dane archiwalne ","częściowe zachmurzenie / niewielki deszcz","16°C 9°C","1004.92 hPa","12.75km/h,
północny","niewielki deszcz"
"Czwartek,
10 wrz 10 dane archiwalne ","bezchmurnie / brak opadów","18°C 9°C","1010.58 hPa","12.75km/h,
wschodni","brak opadów"
"Piątek,
11 wrz 11 dane archiwalne ","częściowe zachmurzenie / brak opadów","19°C 11°C","1011.58 hPa","21km/h,
wschodni","brak opadów"
"Sobota,
12 wrz 12 dane archiwalne ","niebo niewidoczne / niewielki deszcz","16°C 13°C","1007.58 hPa","22km/h,
połud.-wsch.","niewielki deszcz"
"Niedziela,
13 wrz 13 dane archiwalne ","częściowe zachmurzenie / brak opadów","19°C 11°C","1004.25 hPa","20km/h,
połud.-wsch.","brak opadów"
"Poniedziałek,
14 wrz 14 dane archiwalne ","częściowe zachmurzenie / brak opadów","20°C 13°C","997.92 hPa","26.25km/h,
połud.-wsch.","brak opadów"
"Wtorek,
15 wrz 15 dane archiwalne ","zachmurzenie małe / brak opadów","20°C 16°C","992.25 hPa","19.75km/h,
połud.-zach.","brak opadów"
"Środa,
16 wrz 16 dane archiwalne ","pochmurnie / brak opadów","23°C 14°C","992.25 hPa","11.5km/h,
połud.-wsch.","brak opadów"
"Czwartek,
17 wrz 17 dane archiwalne ","zachmurzenie małe / brak opadów","27°C 17°C","986.25 hPa","15km/h,
południowy","brak opadów"
"Piątek,
18 wrz 18 dane archiwalne ","pochmurnie z przejaśnieniami / bez istotnych opadów","18°C 16°C","991.91 hPa","19km/h,
połud.-zach.","bez istotnych opadów"
"Sobota,
19 wrz 19 dane archiwalne ","bezchmurnie / brak opadów","21°C 12°C","1001.58 hPa","13.25km/h,
połud.-zach.","brak opadów"
"Niedziela,
20 wrz 20 dane archiwalne ","częściowe zachmurzenie / opady deszczu","17°C 12°C","999.25 hPa","10km/h,
zachodni","opady deszczu"
"Poniedziałek,
21 wrz 21 dane archiwalne ","częściowe zachmurzenie / niewielki deszcz","16°C 8°C","994.91 hPa","12.5km/h,
zachodni","niewielki deszcz"
"Wtorek,
22 wrz 22 dane archiwalne ","pochmurnie z przejaśnieniami / brak opadów","17°C 8°C","994.92 hPa","16km/h,
południowy","brak opadów"
"Środa,
23 wrz 23 dane archiwalne ","niebo niewidoczne / brak opadów","19°C 12°C","991.92 hPa","15.25km/h,
południowy","brak opadów"
"Czwartek,
24 wrz 24 dane archiwalne ","zachmurzenie małe / brak opadów","19°C 12°C","998.59 hPa","10.75km/h,
zachodni","brak opadów"
"Piątek,
25 wrz 25 dane archiwalne ","częściowe zachmurzenie / brak opadów","19°C 10°C","1001.25 hPa","10km/h,
zachodni","brak opadów"
"Sobota,
26 wrz 26 dane archiwalne ","częściowe zachmurzenie / bez istotnych opadów","17°C 11°C","1003.58 hPa","17km/h,
północ.-zach.","bez istotnych opadów"
"Niedziela,
27 wrz 27 dane archiwalne ","bezchmurnie / bez istotnych opadów","16°C 9°C","1008.25 hPa","16km/h,
północny","bez istotnych opadów"
"Poniedziałek,
28 wrz 28 dane archiwalne ","zachmurzenie małe / niewielki deszcz","16°C 8°C","1014.58 hPa","17km/h,
północny","niewielki deszcz"
"Wtorek,
29 wrz 29 dane archiwalne ","częściowe zachmurzenie / niewielki deszcz","15°C 9°C","1020.25 hPa","16km/h,
północ.-wsch.","niewielki deszcz"
"Środa,
30 wrz 30 dane archiwalne ","zachmurzenie małe / brak opadów","16°C 7°C","1019.58 hPa","7.25km/h,
wschodni","brak opadów"
"Czwartek,
01 paź 01 dane archiwalne ","częściowe zachmurzenie / brak opadów","16°C 8°C","1014.92 hPa","19km/h,
zachodni","brak opadów"
"Piątek,
02 paź 02 dane archiwalne ","pochmurnie z przejaśnieniami / brak opadów","16°C 9°C","1007.92 hPa","23.5km/h,
zachodni","brak opadów"
"Sobota,
03 paź 03 dane archiwalne ","częściowe zachmurzenie / brak opadów","18°C 9°C","1003.25 hPa","14.5km/h,
połud.-zach.","brak opadów"
"Niedziela,
04 paź 04 dane archiwalne ","pochmurnie / niewielki deszcz","19°C 10°C","997.59 hPa","11.5km/h,
południowy","niewielki deszcz"
"Poniedziałek,
05 paź 05 dane archiwalne ","częściowe zachmurzenie / brak opadów","17°C 10°C","998.25 hPa","12.5km/h,
północ.-zach.","brak opadów"
"Wtorek,
06 paź 06 dane archiwalne ","częściowe zachmurzenie / brak opadów","14°C 11°C","999.92 hPa","20.75km/h,
wschodni","brak opadów"
"Środa,
07 paź 07 dane archiwalne ","pochmurnie z przejaśnieniami / brak opadów","10°C 6°C","1004.25 hPa","28.75km/h,
wschodni","brak opadów"
"Czwartek,
08 paź 08 dane archiwalne ","pochmurnie / brak opadów","10°C 3°C","1006.92 hPa","21.75km/h,
połud.-wsch.","brak opadów"
"Piątek,
09 paź 09 dane archiwalne ","częściowe zachmurzenie / brak opadów","8°C 2°C","1009.58 hPa","16km/h,
wschodni","brak opadów"
"Sobota,
10 paź 10 dane archiwalne ","częściowe zachmurzenie / brak opadów","9°C 1°C","1011.25 hPa","9km/h,
południowy","brak opadów"
"Niedziela,
11 paź 11 dane archiwalne ","częściowe zachmurzenie / bez istotnych opadów","8°C 2°C","1009.25 hPa","12.5km/h,
wschodni","bez istotnych opadów"
"Poniedziałek,
12 paź 12 dane archiwalne ","zachmurzenie małe / brak opadów","7°C 1°C","1010.25 hPa","20km/h,
wschodni","brak opadów"
"Wtorek,
13 paź 13 dane archiwalne ","niebo niewidoczne / niewielki deszcz","5°C 4°C","1007.58 hPa","21km/h,
wschodni","niewielki deszcz"
"Środa,
14 paź 14 dane archiwalne ","pochmurnie / brak opadów","10°C 3°C","1007.25 hPa","19km/h,
wschodni","brak opadów"
"Czwartek,
15 paź 15 dane archiwalne ","niebo niewidoczne / brak opadów","10°C 6°C","1008.25 hPa","26.25km/h,
wschodni","brak opadów"
"Piątek,
16 paź 16 dane archiwalne ","niebo niewidoczne / opady deszczu","8°C 7°C","1004.25 hPa","26.25km/h,
połud.-wsch.","opady deszczu"
"Sobota,
17 paź 17 dane archiwalne ","niebo niewidoczne / niewielki deszcz","10°C 6°C","1001.91 hPa","12.25km/h,
połud.-wsch.","niewielki deszcz"
"Niedziela,
18 paź 18 dane archiwalne ","niebo niewidoczne / opady deszczu","10°C 8°C","999.25 hPa","7km/h,
północ.-wsch.","opady deszczu"
"Poniedziałek,
19 paź 19 dane archiwalne ","pochmurnie z przejaśnieniami / niewielki deszcz","10°C 7°C","1000.58 hPa","11km/h,
północ.-wsch.","niewielki deszcz"
"Wtorek,
20 paź 20 dane archiwalne ","częściowe zachmurzenie / brak opadów","9°C 5°C","1001.91 hPa","11km/h,
wschodni","brak opadów"
"Środa,
21 paź 21 dane archiwalne ","częściowe zachmurzenie / bez istotnych opadów","10°C 5°C","998.92 hPa","8km/h,
północ.-zach.","bez istotnych opadów"
"Czwartek,
22 paź 22 dane archiwalne ","częściowe zachmurzenie / brak opadów","11°C 5°C","995.92 hPa","15.25km/h,
połud.-zach.","brak opadów"
"Piątek,
23 paź 23 dane archiwalne ","pochmurnie z przejaśnieniami / niewielki deszcz","12°C 8°C","993.59 hPa","28.75km/h,
zachodni","niewielki deszcz"
"Sobota,
24 paź 24 dane archiwalne ","bezchmurnie / brak opadów","12°C 7°C","1002.59 hPa","14.25km/h,
zachodni","brak opadów"
"Niedziela,
25 paź 25 dane archiwalne ","niebo niewidoczne / niewielki deszcz","10°C 6°C","1000.25 hPa","18km/h,
zachodni","niewielki deszcz"
"Poniedziałek,
26 paź 26 dane archiwalne ","częściowe zachmurzenie / brak opadów","11°C 6°C","1005.92 hPa","20.75km/h,
północ.-zach.","brak opadów"
"Wtorek,
27 paź 27 dane archiwalne ","pochmurnie z przejaśnieniami / brak opadów","10°C 4°C","1007.92 hPa","9km/h,
połud.-zach.","brak opadów"
